Marca temporal,Carrera,Semestre que cursas actualmente,¿Cuál es la razón por la que te interesaría cursar alguna materia en el periodo intersemestral 2025-4?,¿Has cursado anteriormente un curso intersemestral?,Curso intersemestral que más te interesa cursar (OPCIÓN 1),"Segunda opción de curso intersemestral, si aplica (OPCIÓN 2)","Tercera opción de curso intersemestral, si aplica (OPCIÓN 3)",¿Qué dificultades has enfrentado (o crees que podrías enfrentar) al cursar una materia en intersemestral?,"Desde tu experiencia (o expectativas), ¿cómo valorarías la calidad académica de los cursos intersemestrales en comparación con los cursos regulares?",Justifica tu respuesta anterior,¿Qué condiciones crees que deberían garantizarse para que un curso intersemestral sea exitoso y justo para los estudiantes?,¿Te gustaría que se volviesen a impartir cursos intersemestrales de optativas del plan de estudios de Física y Física Biomédica?,"¿Consideras que debería cambiarse algo en la forma en que se organizan, asignan o anuncian los cursos intersemestrales? ¿Qué propondrías?",Algún comentario adicional sobre los intersemestrales,Token 
17/5/2025 1:16:29,Física,4,Porque no me gusto mi curso anterior ,No,EDO I,Electro ,,Tal vez el tiempo de estudio ,3,Creo que serían regulares por el tiempo que te tomaría abarcar los ambiciosos temarios de ciencias ,"Creo que si fueran en línea o mixtos facilitarían mucho el cursarla, además de que enserio se le meta atención al aprendizaje no como en los cursos normales donde la mayoría de veces es solo acabar el temario ","Sí, me gustaría y los tomaría",Pues sería en qué no les quiten sus horas de trabajo a los profes de asignatura y tampoco les paguen apropiadamente por dar intersemestrales ,Ninguno ,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""c3ff638cb5b1865b24c3c23f11c001539b3afe2f2e63149895069043a2960c0c""}
-----BEGIN SIGNATURE-----
QpK0CLsDL5RLS3xyUSCekqttemDy2YhhOiVXqPT+y1yady1iKKCb7gvm/hkkuKZFAS0Nkwi/V6WUgmxypFuFu4E+a4+asvnrLvowt0Q41AEuNZYhu9zLa+kbQF5LpwYkG6m9sHletZHEnb4EX0NwfpU6vL9cXQU0mmPSdjamIpeOU6Z0LuuuHnOv4Hvap7K/QgkzCRdMVkqbEQyUJxxejvUxY0sOWSRyYGkPsDff4/xZ9G/T0GwM3Vy2qm34dXrIsHc5C6JfxJ4E9YFyyj6pJQARJX3nuAPk1F/vWsMzAaVMnUZXz8zz+tCCAOrkYWXSdBIG7TxWYZFJrt8Pt7W5wyFvI/0BIGpcd5pDjQp6n5Nqd8mYFmsxxledWKvDFyQ5HUk1etQqewm5yxbNABU0DB6fJ8Tg1NjBbwQz4Ygj5WJQvE3r2Yd58LZy1a8t92JFwRMsySVLxEcc6I4SYQK7raT8bv8MVOLt9RL2zayBjf/LcIlZ0ubxZqiipNSE4fkP4Y5YgMsFuYATnvu+TxOpUquBE//nA1CjfggEKHsIloZeK4u8iczMaTwZN/fCkPGC8boBhKy+HBsxac8bQGN6qYzOGiSwIpg3UFr6QdJriEB5ef69ufV9ITfOJDSE/WYeP+sVENWBQEudVo7FZmkkPiEhVU3tE36OqIOLKXtOlzI=
-----END SIGNATURE-----
###
"
17/5/2025 12:05:16,Física,Octavo ,LAB. Contemporáneo 1,No,Lab.Contempo 1,Lab.Contempo 1,Lab.contempo 1,Solo el tiempo ,5,,Que sea moduladorio,"Sí, me gustaría y los tomaría",,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""77182ab165ec0df17e3943415c8db4c82b8d82635e882fc21b82ce57bbbb8385""}
-----BEGIN SIGNATURE-----
jFbbrrarcWlEkCyvu/wYOS7/ttRTE9LS6ZPgtRU1DEAr2gmPLfoVCiBOyqikB3G5hsarEqsDrJJ9488lOxXnrIV1adeCyjtdFUo0dWz7z8U9c0/YC49rwC9jJnxAUmcBU897sB73qj1qbTN0IA6xAyoMMwiuB9sWSld72FPj6mpP340xx/jhQS2ko15IQ9jkDn29fBg8JI4bMjkHdm019BCbz6MbnwS1KdszU2BFPpkzgqOliO7Apvs3fFEIgqDGTpWy+dR0A2Q66T0gBaCMYF1RiHht36QTzn5v37qYr4op17j1pBZr8C1mWSwHdSrwWWFo1iyFLGvD/G27Z36KgwhXWZbKJbP38mOsHNQmQtobIbJYZzc8YTBOmUp83konblzbWkx5TSMM4oxZE7/grJOkbDqLUlQzVxBAqNaY7JYt5/oxNLOy4nkAOR60zO6g49+4cyjYMZBxO38gm1IYbilDOmSPMTwi3XdXWvgvvRfeC5gH2fOVnd5fJmAuAg9fOPQYxLM95IvKK8VrYsmJbKhU3VlSiLiEVVaQdopMhwaCzZluZah9M17qnLtGzbY5ffvByEm/eVUrr7H7kEbg4IWjAgJQ82yqUPPAfisrmW483RcUQcHn0V5YimBS6cQ+DzlcnxGUAzRhPX5SHiDl+1nkwdJNKHPHCHqrxnlo/Fk=
-----END SIGNATURE-----
###
"
17/5/2025 12:06:29,Física,16,Para poder concluir mis materias faltantes en menor tiempo ya que trabajo y no puedo meter más de 2-3 materias por semestre,Sí,Óptica,,,Horario (ya que trabajo en las mañana) ,4,A veces hay temas que se dan por conocidos y no se tocan ,"Que aún cuando sea corto, se vea todo el temario ","Sí me gustaría, pero no los tomaría",No,"Que abran cursos en la tardes, muchos no podemos ir en las mañanas ","###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""ad28a6025f91c1b74a074be196fb7f3586b9c725c3817deed0b65e19c019e859""}
-----BEGIN SIGNATURE-----
zj7qDzzC1E/8osb8NV2kYDRqM054AI+VtlcKukl1h9xCiIQm0SnsdRoLWDdeLAFtcUDZ34gnl9qOh88qwxsQfVaPuKrLs3Za7iis2Kp5150DknntdJTC/YwdTB4Z/VwVLrbwocs/1Lrg8bLaIId6Zuh0LH+InkJtmn7yXSLXnLVW0P7jignewCVBscq1cC0Kl6Y/fFbs6/jWh1Bz9PEW7lnL6hL50X19ruFw3BG5fQsjQaq5ptVW6BlnjPhRlnKX9PKn+mHr3irVodhd5wl64IshY3PRnTRuxCl16utO0ZrDOjInpztQkihtzw+XjScv82krgF+UHk19efhlTpx1kSlLqhT35v0rntFZZO9V7Uv17Eq2e4D0eaHLu5Ff27C6ETg6yVOLyyS5dcWHsqtoM1kfm+pdV3k9fLcgetnRiZ8Kkwb/+LPfUVrR/LPAFfoSfp8jxUvSQYnCKyxHEwr9Me7CEaEPUZAF4XkPbY3vNZ4HNcUXifC5Cm75GUvuKBn+FJX8qVHj7TUMND/WGVFGcKz2qV5cnaEkXeYxlPKV4vy+A5YppT7QKBfBXgdhRmdL4GhyIS9Wcic/ngjerjJQ5PeQVOATW03C5iLidwBZXpLH90msgRwb95IjWhFwHDVlgR8BaW0pM28Rs2Rlf0e7dI7oc3qbUlTTt/aTabdh/sY=
-----END SIGNATURE-----
###
"
17/5/2025 12:07:04,Física,Sexto,Para reponer créditos,No,Mecánica Vectorial,Fenómenos colectivos ,Computación ,Que se de un solo horario ,,,Que sean dos horarios y con evaluaciones 100% examen.,"Sí, me gustaría y los tomaría",Que otorguen más lugares.,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""9caad53b2648f7881e484591d827391eb7a2868afa62211e7dcb99cfead27a33""}
-----BEGIN SIGNATURE-----
OHA+MFjpKnONvwRgtDI2L2if8YsdQN89/Bhv3RFRsV2H6xCjr/TvONtLt6wId2F6zkcnq+IGROIu+T5xdgBSSD3j5w/h4sGdjGAHTmmm345dgprwJwtLuJ1zuM7edyeQobmIYXrk1m6qUdXyLhb8k6PWemLPYND6DeD+ibCNgKbmjm3pV5x6HA5h8TQ/QhNRijHO2+kdmCOvNodgjM0EmJokllxqd+OSorzEGMGWhyc7jWX6nuLxVhP04YD950ifiY5OCfTO2Npmd92QEAvJmVY6oEWPRmT09xviGzgmOSSWwtTYeyp9paCgtp2Z94WiEq4hdn5i6CHOToBqU8o0Up65fTj4+NiAW97pAisTlN73uwUNhzk3yJg8yE+PMmdAr7WA0ml+Q1e4/gmfEce+NimGmKxbiWARd3XvHI3TdLTLLnm1QN6QgI8M6pbZ+nwnSk9RLaMQtvXPSIaxSS0X6H7Lt95784rH/F+sQ76qvHCe1hkxMIErR32CYei+5YTfrGlfi5OMQzwCeBkX+Uli8AMZ4EkBdZAsQedB/R7kY1APvW4weeKrXk7v7MKTJxBrWWFBvUnVexZDh6E/ezsPho7GzSolvFvJrHgTG+F0OhXqv1PpyZ2qoOkTUvN57hZcs/DKjgsDqXagq1O3DG+aP2pUpH6sI5I4MVGcbOVrmt0=
-----END SIGNATURE-----
###
"
17/5/2025 12:07:23,Física,Solo me quedan Física Estadística y Física Nuclear y Subnuclear,Ya terminar créditos,Sí,Física Estadística ,Física Nuclear y Subnuclear ,Mecánica Cuántica (si no la llego a aprobar),Estaría súper bien que fuera online ,3,"Al ser intensiva, quizás debería ser mejor tomarla en línea ",Con que el curso sea claro está bien ,"Sí, me gustaría y los tomaría",Habría más opciones si el trabajo fuera en línea ,"Solo me quedan tres materias, ayuda 😅","###
{""roles"":{""estudiante"":20252,""ayudante"":20231},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""1e5ccd6fe6746c1fd76c0b838a41018b10e85d975947d6ae931a551d03343941""}
-----BEGIN SIGNATURE-----
jWA6oSa/LE71b7q2hsgaLCwyGczHr6W/WBOpmgqcL7T3Jjem0UrrpY0Ra2cJU77pnMDEgEtRkZkoA3Et8TB6s4gH0/8AGvtnhvcqFnpk5bGbk0p1Q1BpuXOU1aeZ3kPAkSSG1Smi7ekF1o8b6maVhraMvxu5KS7On8SIVFAsL9YO3/2pe5UdG4nAwoztUlTU7DHLDoXdCqRxbGRxdVvc441wAJp/iCTRSHgGdNnsp4xGuDVhRvUytazvMheTmbNIcKqU8EBucwm70BCZoRJdZLb4XN9nvgClC+iaIkHIgzCHVr1LHCI7qSfua3Ox39Ac0dkmF/d6qCB6q4ZdjxbpzlVUibsmR1EZaoThUZVmwxOpYAHXe3hYAKv36/XzLGQRuKp5NnKZm7VYgwYfBZuM27i1mtwqF0E0EmAdSX8bDv2ZH8V1GeDr2ZSfER12/hngZp/rfsRO3D/1h5IQOBBqUXjgUJcRTq2D4hEHCQjQxTx6hIjbWBWITxEi9a+ApA1204V61F+Qal3DH5d2fGxkLl2DQnAQOjpPYdWDJsis7z4jnFip/jIsBIui88yfB2tMk+YrZi1Fu1MIP8ehjkP+Ba/A2/BBaR6xcynMo7MO5GDunxhUkcPRRCIUqR/oP8Ws0ecJeo/3VYUSJxsKL/GXDb55T399zuw3fhxbhrIkxWA=
-----END SIGNATURE-----
###
"
17/5/2025 12:07:58,Física,segundo,para regularizarme,Sí,Fisica general ,Calculo I,,el horario ,5,Solo he cursado un intersemestral pero definitivamente el profe dió las clases con amor e hizo que me atrapara la materia siendo muy ameno cursarla ,explicaciones detalladas sobre los temas y calificaciones no tan pesadas pues por lo general hay muchos recursadores yo incluído ,"Sí, me gustaría y los tomaría",que se habran más materias y horarios,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""09ec71cd7ce7f6ae0ac0d24a9bd35174e5fa6b328aa65e932ef0a7e81ab600cb""}
-----BEGIN SIGNATURE-----
OdMGAHRiDtgSfx+ExnJdasjVwURjGkoKk+Gv20MgX4U4d5WaVZKFIvmaVHka/m/shlM103XYyojuAYPb4P5oZ0/EjQQnEYWlnQUcWobQKbRTWBQIh6ubuU72KysZ2HPs/Bm8TBhePS5OmGzhq6Kf99I964bc3IopTO/2Y1US/x2C8E6oVy06/KLBOBywGvqA76A9ZIluUDehvT8d3C8WKNrj8waG03HPDOoMwEyuUZnuqmb9KFOLRrF5359XMWtP1xToxqO16yf90GwV9udG7Omo6ebogp6iirvjlfgQdc+3HXQO9MAmSSRXwp0ckOhReVtcPCHZNqxrBAM1ICg3ZIH6xAuqa2E7e7hQ1lbfzqB85YS9aDBbD01cL6Mx4b3ybuTfbJBmp3bh8eh2SOu4/xRlcf7eu2vIvq2ZGzlCdXllUiN1ARU7JIq1oXdh6mGUim/7e74+pWBWdI2U+XNmWg6DHb1wQNTSFBroy1dGgOUKS5py+YsLAJu06osgjjmmJgHniXkvQbVtAepqjvsh4HZsusUOJt+T3DLdSCGUnt4/Vk5Jpz4wcpRqqs+jB4Y3OzdRbKGkSn8mRRRwPcoVSViyosxbSDODNOu8qfmo8OuPBfTdb1TysWdyMn4MRe4myiko0bebI6YZGcBW2JdPr/QjmaQFmFs6/YtnCp6+AJ4=
-----END SIGNATURE-----
###
"
17/5/2025 12:08:55,Física,5to semestre,Adelantar materias,Sí,Laboratorio de optica,Calculo Diferencial e integral 4,Ecuaciones diferenciales 1,Ninguna,5,Más atención por parte del profesor,Cumplir con los temas y criterios,"Sí me gustaría, pero no los tomaría",No,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""be37f4f4e1ee2f50560127b93038ea75c7e0854f4e4639617c0d894b40c00d6d""}
-----BEGIN SIGNATURE-----
sWgeaJjOigqM1aJ5saa+dmgKi+1ZVKZ62NGUWnIxqxE5TQtDHZsanRtixYv69OdM3QtlMpU07ZEphOTQzQGVVHW6f27XT7cg9jJ+67rbPmI9tYp7EEfn0djb2SF6bYGdrbsz5LMKrDD+UuR2I2A3g+YFhQtWHNixAdJitky6QjrFsS5BIAC+ENWhBx3JtTsojRvIprcDLVLWk9uypHUcH518s00FzKOh6YtKQHRDNmK6C9klZQ1wq9Y2bIDmgD7+u+k99PMiiiiWICh5m2KD3YAmlfe9XdfykuD9gdJ0iH4CBdKXmdTVwn7x2nrUAXmUPS3vNPe3YHBFw+7y9PuDWlwzreUK4dNsWYmWP7J6djNA6o1e1IbPVP5i1LYp3WLTsh5w7B7tYYw598cT6AlOEqIMdtS+db8AfK/i7X0OJsa5Ps+7xowgDia3MFLIVmafmLpNrKU/6wDW40J0V2t3J4sVsxaichlFB+iy94b1SzSHelORMl+ePAGepjQ16wcnVZ+7aE+VQAeiImthkk+h05GPqqJriH1NiVFaJh5ubc82UOBEGVk3b3eRLr3vOAnC7IQ3VR4VtGVe3HHGBecsNwEbVWL3eh8MNsIWXts+pzHzDYbbuMcJ2j45E/AeQBnQrhfgN+h/6BwWNoNPVisjfRidjBJJXm21G7PgLg1F9fY=
-----END SIGNATURE-----
###
"
17/5/2025 12:09:12,Física,9,Terminar mis materias,Sí,Laboratorio de fisica contemporanea 2,Fisica estadistica,Alguna optativa,El tiempo se reduce y el temario debe verse más rápido,4,"Los cursos que he tomando han sido educativos y me han ayudado a avanzar con mis materias, le resto una estrella por la velocidad con la que se debe ver el temario aunque entiendo que es consecuencia del tiempo que tenemos","Buenas clases, evaluación más concentrada a trabajos/ tareas y un buen ambiente grupo- profesor","Sí, me gustaría y los tomaría",Creo que se deberia incentivar a los profesores a que pidan grupos intersemestrales porque con eso podria haber mayor oferta,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""f1ef203c957755f9e4abe4b2d6e56a6047868e7585668dbc9637f22206a9054c""}
-----BEGIN SIGNATURE-----
hRnSQ3vfBAFU5szx1qmej8AlPiqgcUNbYheUU7NQ1XRC4uNEcgA/VzOxSuhC1l+ynsmJg1Rz+LRi/iMz70vObLoJbmM0KehprdoqqScGDCeAiHEma5S6bYYR8EsK+jEzylBhDMiJdtgkN6CEbvBUoyElu/+X4HImbDfM++ZxyDyU9tQCeK62RqPGhvMFAthFjZopZhO8i2MI1zjWpQjYKw+ps4rBpF1l9MxWf8ZDszsxRxWqlyM6LYXCBmC9paqLle5WeIlnCet4j0iyBCvrFayGFSLeulX47BZhuvJ8WXyLmpiFxyjVPD9pdA6zQbe55nKvkIBhXnuFtxBqbR66nIWPmV8vMOGI8ZXYrxugX89tT5i5TedT0Stxj0B8XC8zHeBnYJPHIKjcjb/MWHVysusynxu2piy8HlkizxU9+ubHNWsUYioM+htP5PDT0a6OATnJ9ZFBjpuRLA3KXshlCRBdQFjBart6I4Z2M0xSQaHI/G8FIeAaJOtRlrTFuTrQelBxKJupDwy+Tz7Lx10sOA6YJ/fsZQtGkmfOkZwl4nxow7IQPjNVGnjzPzS0mKvp3vjvb9MZYg4qN8MLZaWRG40exgj/eyUIgoqHafMHRCSaGTNmcBEQt3VRCYBBWlbPxF/aqDCEjyoWALi2xb4WErHuZHndyotMl8yDmzR79bs=
-----END SIGNATURE-----
###
"
17/5/2025 12:09:13,Física,Octavo ,"Poder cursar los laboratorios de contemporánea en tiempo, ya que el semestre pasado no me dieron el primero a pesar de ser regular ",No,Laboratorio de contemporánea 1,,,Todo se da muy rápido ,3,Por el tiempo siento que no se puede trabajar con tranquilidad ,Que haya cupo para todos ,"Sí, me gustaría y los tomaría","Debería ser más justa la manera en que los dan, abrir más grupos ",,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""9a5f867f100d2e4383bc6fb83489369cf9c08df01704ad4069063e8477494ce5""}
-----BEGIN SIGNATURE-----
k5ImAfxmKkvv3C5VpX0X/db6zCTrebGwICJATgn4dQ//KTk7dQkkqnA6HGavQ3kng/+y2PUp8qucJhPXWOiryB5dhDA1mwH+FVOk5zMKQHLnqNS0YaT8C2XuqJuj7yPInNVI5nZP1xx7mYISLmgnWBTMULCGiaTYrNYGtCuSCpr0r3qjLShgM7g6qsNcKGuXknV1cWlR5f0P83LAddTLSetgoXMc54+sGcBr7ZyfUNk3S/VBLl7yEiPkFWv2jHEVrvCjZkShgXUx2D75my/sAzYeTkg8Yz1kJEttnl/k4OIEg3h4UgarosgX4+kI77vpVHhklEKJk5oW5IbCRhmhcAsGYcISWbbW6imMD19A+KFWyF1YpPW7kPjcNbCExMijWbWBwfAMVFtHOK5OMx9evM8AakrhBHIubn9+6oqQeowYl5iDPOiCrZ03vZKKZLE7BmVGjJDqO0fbNmi2DMwKO4le1mLTtDffnzOtLUaUPybkPP5WBuH39pJlLHPoEIWtY/YjuQDsyzrkEX6Bm3cSGh33rGZTl4mKwriMkJ2WfrnB8IF4pG7jeJUJBWQm9MQPO8QU/EHfmv+2m4MO7tnMh3xzyz9GgVI1ei2kZ7Q3WuUiqLG17cGEbKNbmB61ORt5Tkvcwx9KVdNn4S9rYhrq0lSxzZzsjSPA4WftjTAk31Q=
-----END SIGNATURE-----
###
"
17/5/2025 12:09:21,Física,8vo,Terminar créditos este año ,Sí,Laboratorio de física contemporánea II,Electromagnetismo II,,Que no se abre un cupo decente y de acuerdo a la demanda de la facultad que ahora se ve más afectada por el paro ,5,Me han tocado profesores comprometidos con el aprendizaje y el temario ,Compromiso de alumnos y maestros así como un cupo amplio ,"Sí, me gustaría y los tomaría",Más cupo y que los profesores a cargo de dichos cursos sean más abiertos para exponer su forma de trabajar y evaluar ,Que se garantice que se abran cada semestre sin necesidad de estar rogando a la dirección que lo haga ,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""16df528f723102f2985d9b77ee424a94a6d6cb32082f592111d349eb74767041""}
-----BEGIN SIGNATURE-----
t+JZlCTa65MOZxRQNca7z0bqszuK7kznoDf2soy26YgLFpNRjxH63afXThiHuoU2/mHG2tyOa9vyzkQ6P6hxd3u63XQQ+/9HizcDDPxLTDlNgA2vnqJZGbeoEkT2lT3Gpvwug37kMgUBszgKAEIU9Pim1Q9pjF1mEM+Cfh9Zy/JGLLEhvA+Twx850cs8DU/C2yUcjAwHdB4sNcCWqSkHACuz7gJwlUHyCOO4Cox1Iur0b1fNraW9xl2OapQMOdVe2a/K6FmIVLTdqehRUqWrnGhMWcgdhkO+uJKEfUDCfJb8yWsuTxMsAc0+qgGCjpSO5r7ntwe7UgzfA83OwFEUtuGJSwAaD43S6eCcVLB3cic62WrgGO/UFvTxdRjKCagiQDnfuligtdUfzmLj9apY4J7gjsVkT0Dxxw01PibgqsvIi7mWdS/biSYBn4DYUto1W8HaGgh27mrDehBhrKs07/Mof1zHJyNsvu+emoYD9gZEKuHZu9CrgcjPL3/S6Fv4Lvy+W/ITlw6pCvpXP6wZ72lJ0t+M2OGDO9uOc1LI+HUSS7/4bCkhgn1dqfHiFrLb5AMrz4NF7iu2vrm7F8oQaSeCZNtHol9y4N33c0bD9HwU4giimgcWJn5pmalb3vKfwBnx6UggSGWff/r9Y/QKF2QFG7putnWzGwP4TIwA5Bk=
-----END SIGNATURE-----
###
"
