semestre,area,creditos,nombre
primer,obligatoria,10,introduccion a la fisica del cuerpo humano
primer,obligatoria,8,metodologia de la fisica experimental
primer,obligatoria,14,calculo diferencial e integral i
primer,obligatoria,8,algebra
primer,obligatoria,4,ingles
segundo,obligatoria,12,mecanica vectorial
segundo,obligatoria,8,medicion y analisis en la fisica experimental
segundo,obligatoria,14,calculo diferencial e integral ii
segundo,obligatoria,8,geometria analitica i
segundo,obligatoria,8,bioquimica
segundo,obligatoria,4,ingles
tercer,obligatoria,12,fenomenos colectivos
tercer,obligatoria,8,instrumentacion y calibracion
tercer,obligatoria,16,calculo avanzado
tercer,obligatoria,8,algebra lineal
tercer,obligatoria,8,morfofuncional i
tercer,obligatoria,4,ingles
cuarto,obligatoria,12,electromagnetismo i
cuarto,obligatoria,8,elaboracion y desarrollo de proyectos experimentales
cuarto,obligatoria,6,algoritmos computacionales
cuarto,obligatoria,8,ecuaciones diferenciales i
cuarto,obligatoria,6,morfofuncional ii
cuarto,obligatoria,4,optativa (humanidades)
cuarto,obligatoria,4,ingles
quinto,obligatoria,12,optica
quinto,obligatoria,12,introduccion a la fisica cuantica
quinto,obligatoria,10,fisica computacional
quinto,obligatoria,10,matematicas avanzadas
quinto,obligatoria,6,anatomia radiologica
quinto,obligatoria,4,ingles
sexto,obligatoria,12,electromagnetismo ii
sexto,obligatoria,12,interaccion de la radiacion con la materia
sexto,obligatoria,12,termofisica
sexto,obligatoria,5,bioestadistica
sexto,obligatoria,10,fisica del cuerpo humano
sexto,obligatoria,4,ingles
séptimo,obligatoria,12,mecanica cuantica
séptimo,obligatoria,8,instrumentacion biomedica
séptimo,obligatoria,6,introduccion a la oncologia
octavo,obligatoria,9,seguridad radiologica
octavo,obligatoria,9,imagenologia biomedica
profundizacion,Ciencias Médicas y de la Salud,6,sistemas hibridos en biomedicina
profundizacion,Ciencias Médicas y de la Salud,9,dosimetria
profundizacion,Ciencias Biológicas,12,fisica biologica
profundizacion,Ciencias Biológicas,9,sistemas dinamicos de la fisiologia
optativa,Humanidades,4,historia y filosofia del pensamiento cientifico
optativa,Humanidades,4,"ciencia, tecnologia y sociedad"
optativa,Humanidades,4,filosofia de la tecnologia
optativa,Humanidades,4,filosofia de la ciencia
optativa,Humanidades,4,las relaciones interpersonales en el ambiente hospitalario
optativa,Humanidades,4,mexico nacion multicultural
optativa,Humanidades,4,bioetica
optativa,Ciencias Médicas y de la Salud,6,radiobiologia
optativa,Ciencias Médicas y de la Salud,6,fisica de la resonancia magnetica
optativa,Ciencias Médicas y de la Salud,9,fisica del ultrasonido medico
optativa,Ciencias Médicas y de la Salud,9,reconstruccion de imagenes biomedicas
optativa,Ciencias Médicas y de la Salud,9,biosensores
optativa,Ciencias Médicas y de la Salud,6,fisica de la radioterapia
optativa,Ciencias Médicas y de la Salud,6,fisica de la medicina nuclear
optativa,Ciencias Médicas y de la Salud,9,fisica del radiodiagnostico
optativa,Ciencias Médicas y de la Salud,6,garantia de calidad de equipos de rayos x
optativa,Ciencias Médicas y de la Salud,6,temas selectos en instrumentacion biomedica
optativa,Ciencias Médicas y de la Salud,6,temas selectos en fisica de la terapia medica
optativa,Ciencias Médicas y de la Salud,6,temas selectos en fisica del diagnostico medico
optativa,Ciencias Biológicas,9,dinamica de biofluidos
optativa,Ciencias Biológicas,9,biomateriales
optativa,Ciencias Biológicas,9,biofotonica
optativa,Ciencias Biológicas,6,electrofisiologia
optativa,Ciencias Biológicas,9,ecuaciones diferenciales parciales
optativa,Ciencias Biológicas,4,aplicaciones de la histologia en la neuropatologia
optativa,Ciencias Biológicas,4,teoria celular
optativa,Ciencias Biológicas,4,introduccion a la antropologia fisica y forense
optativa,Ciencias Biológicas,4,epigenetica
optativa,Ciencias Biológicas,4,genomica viral
optativa,Ciencias Biológicas,4,fisiopatologia de la hiperexcitabilidad neuronal
optativa,Ciencias Biológicas,6,temas selectos en fisica biologica
optativa,Ciencias Biológicas,6,temas selectos en biofisica
optativa,Ciencias Biológicas,6,temas selectos en computo de alto desempeño
optativa,Ciencias Biológicas,6,temas selectos en biomatematicas
optativa,Ciencias Biológicas,6,termodinamica y sistemas biologicos
