semestre,area,creditos,nombre original,nombre
primer,obligatoria,6,Física Contemporánea,fisica contemporanea
primer,obligatoria,10,Álgebra,algebra
primer,obligatoria,10,Geometría Analítica I,geometria analitica i
primer,obligatoria,18,Cálculo Diferencial e Integral I,calculo diferencial e integral i
primer,obligatoria,6,Computación,computacion
segundo,obligatoria,12,Mecánica Vectorial,mecanica vectorial
segundo,obligatoria,6,Laboratorio de Mecánica,laboratorio de mecanica
segundo,obligatoria,10,Geometría Analítica II,geometria analitica ii
segundo,obligatoria,18,Cálculo Diferencial e Integral II,calculo diferencial e integral ii
tercer,obligatoria,12,Fenómenos Colectivos,fenomenos colectivos
tercer,obligatoria,6,Laboratorio de Fenómenos Colectivos,laboratorio de fenomenos colectivos
tercer,obligatoria,10,Álgebra Lineal I,algebra lineal i
tercer,obligatoria,18,Cálculo Diferencial e Integral III,calculo diferencial e integral iii
cuarto,obligatoria,12,Electromagnetismo I,electromagnetismo i
cuarto,obligatoria,6,Laboratorio de Electromagnetismo,laboratorio de electromagnetismo
cuarto,obligatoria,10,Ecuaciones Diferenciales I,ecuaciones diferenciales i
cuarto,obligatoria,18,Cálculo Diferencial e Integral IV,calculo diferencial e integral iv
quinto,obligatoria,12,Introducción a la Física Cuántica,introduccion a la fisica cuantica
quinto,obligatoria,12,Óptica,optica
quinto,obligatoria,6,Laboratorio de Óptica,laboratorio de optica
quinto,obligatoria,10,Variable Compleja I,variable compleja i
quinto,obligatoria,6,Optativa,optativa
sexto,obligatoria,12,Mecánica Analítica,mecanica analitica
sexto,obligatoria,12,Termodinámica,termodinamica
sexto,obligatoria,10,Matemáticas Avanzadas de la Física,matematicas avanzadas de la fisica
sexto,obligatoria,6,Relatividad,relatividad
séptimo,obligatoria,12,Electromagnetismo II,electromagnetismo ii
séptimo,obligatoria,12,Mecánica Cuántica,mecanica cuantica
séptimo,obligatoria,6,Laboratorio de Electrónica,laboratorio de electronica
séptimo,obligatoria,12,Física Computacional,fisica computacional
octavo,obligatoria,6,Física Atómica y Materia Condensada,fisica atomica y materia condensada
octavo,obligatoria,6,Laboratorio de Física Contemporánea I,laboratorio de fisica contemporanea i
octavo,obligatoria,12,Dinámica de Medios Deformables,dinamica de medios deformables
octavo,obligatoria,12,Física Estadística,fisica estadistica
noveno,obligatoria,6,Física Nuclear y Subnuclear,fisica nuclear y subnuclear
noveno,obligatoria,6,Laboratorio de Física Contemporánea II,laboratorio de fisica contemporanea ii
optativa,Área Acústica,9,Introducción a la Acústica Contemporánea,introduccion a la acustica contemporanea
optativa,Área Acústica,9,Acústica en Fluidos,acustica en fluidos
optativa,Área Acústica,9,Acústica en Sólidos,acustica en solidos
